SeaFEM Spectrum_file version 1.0
NWaveComponents	61
TWaves	AWaves	GWaves	PWaves
218.519	0.05	0	0.263894
187.302	0.05	0	2.94053
163.889	0.05	0	2.10487
145.679	0.05	0	3.14788
131.111	0.05	0	1.06814
119.192	0.05	0	4.55531
109.259	0.05	0	3.00965
100.855	0.05	0	2.25566
93.6508	0.05	0	6.05071
87.4074	0.05	0	2.92168
81.9444	0.05	0	4.43593
77.1242	0.05	0	0.917345
72.8395	0.05	0	1.77186
69.0058	0.05	0	5.20248
65.5556	0.05	0	6.04442
62.4339	0.05	0	3.09133
59.596	0.05	0	6.25805
57.0048	0.05	0	5.92504
54.6296	0.05	0	5.20248
52.4444	0.05	0	2.74575
50.4274	0.05	0	2.46301
48.5597	0.05	0	3.80133
46.8254	0.05	0	5.67372
45.2107	0.05	0	0.967611
43.7037	0.05	0	1.84097
42.2939	0.05	0	2.40646
40.9722	0.05	0	2.6515
39.7306	0.05	0	4.50504
38.5621	0.05	0	4.51761
37.4603	0.05	0	5.62973
36.4198	0.05	0	2.81487
35.4354	0.05	0	4.56788
34.5029	0.05	0	4.85062
33.6182	0.05	0	3.38664
32.7778	0.05	0	5.46637
31.9783	0.05	0	5.73655
31.2169	0.05	0	4.19717
30.491	0.05	0	1.88496
29.798	0.05	0	0.226195
29.1358	0.05	0	5.62345
28.5024	0.05	0	4.42336
27.896	0.05	0	5.10195
27.3148	0.05	0	2.02947
26.7574	0.05	0	2.09858
26.2222	0.05	0	4.23487
25.7081	0.05	0	4.17832
25.2137	0.05	0	0.892212
24.7379	0.05	0	4.47363
24.2798	0.05	0	1.59593
23.8384	0.05	0	5.46009
23.4127	0.05	0	3.44319
23.0019	0.05	0	4.05265
22.6054	0.05	0	4.16575
22.2222	0.05	0	4.76265
21.8519	0.05	0	0.238761
21.4936	0.05	0	5.40354
21.147	0.05	0	4.54903
20.8113	0.05	0	4.66212
20.4861	0.05	0	3.33009
20.1709	0.05	0	4.8946
19.8653	0.05	0	1.99177
