SeaFEM Spectrum_file version 1.0
NWaveComponents	31
TWaves	AWaves	GWaves	PWaves
214.815	0.05	0	0.263894
161.111	0.05	0	2.94053
128.889	0.05	0	2.10487
107.407	0.05	0	3.14788
92.0635	0.05	0	1.06814
80.5556	0.05	0	4.55531
71.6049	0.05	0	3.00965
64.4444	0.05	0	2.25566
58.5859	0.05	0	6.05071
53.7037	0.05	0	2.92168
49.5726	0.05	0	4.43593
46.0317	0.05	0	0.917345
42.963	0.05	0	1.77186
40.2778	0.05	0	5.20248
37.9085	0.05	0	6.04442
35.8025	0.05	0	3.09133
33.9181	0.05	0	6.25805
32.2222	0.05	0	5.92504
30.6878	0.05	0	5.20248
29.2929	0.05	0	2.74575
28.0193	0.05	0	2.46301
26.8519	0.05	0	3.80133
25.7778	0.05	0	5.67372
24.7863	0.05	0	0.967611
23.8683	0.05	0	1.84097
23.0159	0.05	0	2.40646
22.2222	0.05	0	2.6515
21.4815	0.05	0	4.50504
20.7885	0.05	0	4.51761
20.1389	0.05	0	5.62973
19.5286	0.05	0	2.81487
